method,env_id,per_seed_ckpt_policy,episodes_per_seed,n_runs,n_seeds,seeds,mean_return_mean,mean_return_std,mean_return_se,mean_return_ci95_lo,mean_return_ci95_hi,mean_length_mean,mean_length_std,mean_length_se,mean_length_ci95_lo,mean_length_ci95_hi,step_min,step_max,step_mean
ride,Ant-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",5048.906763742198,639.1710162230615,225.98107995461177,4591.071783274198,5480.848441838575,958.25,36.18323161355269,12.792704219593285,933.86875,982.3143749999999,15000000,15000000,15000000
ride,BipedalWalker-v3,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",239.20767499268257,99.31018858155147,35.11145389346494,159.84043671217736,297.78958625502537,795.40625,221.89339844492335,78.4511633704669,645.51234375,956.0595312499998,7000000,7000000,7000000
ride,HalfCheetah-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",7106.095464728377,289.0582651310523,102.197529716093,6901.231456765567,7299.2544593485645,1000.0,0.0,0.0,1000.0,1000.0,15000000,15000000,15000000
ride,Humanoid-v5,latest_ckpt,20,100,5,"0,1,2,3,4",2304.1203185063614,1974.0402899915487,882.8176557489,770.6182727898846,4128.942666344932,406.59000000000003,336.51950522963745,150.49609788961305,141.83,715.78,30000000,30000000,30000000
ride,MountainCar-v0,latest_ckpt,20,200,10,"0,1,2,3,4,5,6,7,8,9",-106.61,31.134802070994446,9.845688904286993,-127.455,-95.94500000000001,106.61,31.134802070994446,9.845688904286993,95.96000000000001,127.4605,3000000,3000000,3000000
rnd,Ant-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",4992.4637611176495,751.6402276893033,265.74495100585347,4468.718644360126,5471.409089035497,940.06875,52.08178626868995,18.41369212344954,905.1748437499999,974.165,15000000,15000000,15000000
rnd,BipedalWalker-v3,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",301.8971520727554,8.336725405475057,2.9474775335507912,295.84016525204026,307.3017629527046,928.9625000000001,261.94368281894106,92.61107720512567,769.2625,1136.5820312500002,7000000,7000000,7000000
rnd,HalfCheetah-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",6102.640933929012,2363.4928882755435,835.620924292908,4291.101761051738,7140.472151465563,1000.0,0.0,0.0,1000.0,1000.0,15000000,15000000,15000000
rnd,Humanoid-v5,latest_ckpt,20,100,5,"0,1,2,3,4",2240.0299074192035,1637.6636000053556,732.3854267778,975.2632135729931,3715.2449201100753,383.23,275.21249535586134,123.07876957461022,173.78,632.33,30000000,30000000,30000000
rnd,MountainCar-v0,latest_ckpt,20,200,10,"0,1,2,3,4,5,6,7,8,9",-116.91,41.547315196050874,13.13841466844459,-147.975,-96.04,116.91,41.547315196050874,13.13841466844459,96.03,148.07524999999998,3000000,3000000,3000000
vanilla,Ant-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",5144.298697598341,503.9833097801719,178.1850079752,4772.793276616727,5477.425165496821,945.2375,46.210359701586384,16.337829353030646,910.83703125,973.325,15000000,15000000,15000000
vanilla,BipedalWalker-v3,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",302.22189763215283,13.81316144473254,4.883690063597473,291.2377235646169,309.41130627449013,811.6125,64.41745080915575,22.77500814695244,766.32390625,854.1323437499999,7000000,7000000,7000000
vanilla,HalfCheetah-v5,latest_ckpt,20,160,8,"0,1,2,3,4,5,6,7",6037.700370968294,2034.4615669645698,719.2907850320282,4445.9647837292705,6958.3843582602085,1000.0,0.0,0.0,1000.0,1000.0,15000000,15000000,15000000
vanilla,Humanoid-v5,latest_ckpt,20,100,5,"0,1,2,3,4",1497.3064354520852,1643.84066229697,735.1478930148601,452.7429297231844,3174.8544600940754,247.11,239.41190947820454,107.0682608432583,88.38000000000001,490.4527499999995,30000000,30000000,30000000
vanilla,MountainCar-v0,latest_ckpt,20,200,10,"0,1,2,3,4,5,6,7,8,9",-108.225,31.029342967584732,9.8123398076096,-130.565375,-96.009875,108.225,31.029342967584732,9.8123398076096,96.015,129.14012499999998,3000000,3000000,3000000
